PID,MinMaxYearSpecter
464804,0.07781331595756596
145204,0.18311310605297668
774445,0.15193066828155455
499507,0.28641540438517404
229450,0.16382082238017964
405085,0.043937238490223934
430014,0.1333246105651177
726300,0.1265052220620442
402058,0.28252320400199793
146971,0.15603417749835893
228476,0.18183569602715088
133300,0.09993706671456257
686743,0.25954795250507273
132290,0.1733818950840815
463675,0.2770939408235684
135701,0.19549082570553197
139374,0.3152120615553933
228671,0.2634714986723621
255590,0.14775287751992194
152258,0.10293597659448064
136772,0.20386259846900892
374194,0.2903653551731938
140997,0.13466739603719244
500187,0.27718650739749184
153204,0.06581737965811264
160143,0.19650814401150826
463348,0.05762715960073475
148244,0.2980397062296315
143016,0.3032324923550161
159845,0.1592991362868632
306394,0.08709833027597275
129770,0.2571908682282417
150197,0.11757904162064285
134748,0.22482145338573445
143870,0.21439933109335885
451652,0.1533544607374523
186772,0.18702510289992527
482460,0.11204379688836444
462987,0.287283286236329
159756,0.2483437436861393
667784,0.21435994970847352
135096,0.0351072677685518
33854,0.1769445368117131
1737,0.28034982117889595
726612,0.14740296405247802
149138,0.1774342023739717
166500,0.14700237902409846
132376,0.15148280430948385
354336,0.2831395372841093
137270,0.188414855871552
176912,0.2302866381882534
517172,0.1940251851582746
154948,0.2758696350691544
180405,0.3002175877139982
238128,0.1575354636321654
424054,0.241124980769839
394101,0.1406210785137374
150775,0.24260841992428664
152583,0.06074784851738574
182576,0.18134211146121115
225490,0.23472770080936364
141966,0.2374934988757413
178296,0.301240690785448
678858,0.2295172754216029
142956,0.05948118997190991
366179,0.2936131423421394
153776,0.1603720850451988
154950,0.17479995312125846
650411,0.25084958851785805
94480,0.06912854601047252
164770,0.18699040955215088
423004,0.07423010367616982
157734,0.12197918977346058
643259,0.3437037878646059
372374,0.13285277159372513
462823,0.30129916816925884
483434,0.13660868230210185
209739,0.2897180429256291
403007,0.3011849417086571
544343,0.3295391798129282
161552,0.17375334910695733
190614,0.1876002951566712
225423,0.14883092073693138
150281,0.17795604987096375
261820,0.17364106500141513
132146,0.2344454393972447
136044,0.19218896229527704
579046,0.13239159161596425
745030,0.2646540386678077
420121,0.17842426944651107
176352,0.18280221531731372
137466,0.25340716067700925
176965,0.21688279211285325
488236,0.18384256419293651
367061,0.22149937568461764
